scientific_name,korean_name
Jania arborescens,나무꼴애기산호말
Jania nipponica,왜애기산호말
Jania radiata,부채꼴애기산호말
Jania rubens,붉은애기산호말
Jania ungulata,발굽애기산호말
Jania yenoshimensis,잔가지애기산호말
Jania squamata,눈금애기산호말
Lithophyllum canescens,회색혹돌잎
Lithophyllum corallinae,산호혹돌잎
Lithophyllum dispar,짝자기혹돌잎
Lithophyllum okamurae,혹돌잎
Lithophyllum shioense,납작혹돌잎
Lithophyllum tumidulum,덧우무혹돌잎
Lithophyllum yessoense,왜혹돌잎
Pneophyllum fragile,비늘말
Pneophyllum zostericola,잘피껍데기
Pseudolithophyllum whidbeyense,헛혹돌잎
Spongites fruticulosa,수세미말
Spongites yendoi,엔도수세미말
Choreonema thuretii,새깃산호말혹
Lithothamnion corallioides,잔가지쩍
Lithothamnion crispatum,인도쩍
Lithothamnion muelleri,뮬러혹쩍
Melobesia tomitaroi,방석쩍
Mesophyllum crassiusculum,잔가시돌나무쩍
Mesophyllum mesomorphum,중돌나무쩍
Mesophyllum simulans,기와지붕쩍
Acrochaetium canariense,다발붉은솜
Acrochaetium catenulatum,애기손붉은솜
Acrochaetium humile,낮은붉은솜
Acrochaetium inkyui,제주붉은솜
Acrochaetium microscopicum,굵은자루붉은솜
Acrochaetium moniliforme,염주붉은솜
Acrochaetium phacelorhizum,껍질붉은솜
Acrochaetium plumosum,곱슬붉은솜
Acrochaetium sancti-thomae,천사붉은솜
Acrochaetium scapae,비녀붉은솜
Acrochaetium secundatum,얼레기붉은솜
Acrochaetium terminale,상투붉은솜
Rhodochorton purpureum,융단자리풀
Colaconema bisporum,두포자홍다발솔
Colaconema codicola,청각홍다발솔
Colaconema comptum,편생홍다발솔
Colaconema daviesii,송이홍다발솔
Colaconema dictyotae,가는홍다발솔
Colaconema elegans,고비홍다발솔
Colaconema hyalosiphoniae,가시홍다발솔
Colaconema hypneae,연쇄홍다발솔
Colaconema infestans,해면홍다발솔
Colaconema rhizoideum,헛뿌리홍다발솔
Colaconema thuretii,왕홍다발솔
Palmaria palmata,팔손이풀
Rhodonematella subimmersa,숨긴붉은털
Actinotrichia fragilis,고리방사털
Dichotomaria apiculata,뾰족두가닥바닷말
Dichotomaria australis,털두가닥바닷말
Dichotomaria falcata,여린두가닥바닷말
Dichotomaria marginata,널두가닥바닷말
Galaxaura filamentosa,실가위손말
Galaxaura rugosa,애기가위손말
Tricleocarpa cylindrica,민가락말
Tricleocarpa fragilis,연가락말
Tricleocarpa jejuensis,제주민가락말
Dermonema pulvinatum,놀래기
Helminthocladia australis,큰가지국수나물
Helminthocladia yendoana,잔가지국수나물
Liagora robusta,굳은분홍국수말
Nemalion vermiculare,참국수나물
Trichogloea requienii,새우나물
Scinaia confusa,알쏭흐늘풀
Scinaia flabellata,부채흐늘풀
Scinaia japonica,외흐늘풀
Scinaia latifrons,넓은흐늘풀
Scinaia okamurae,매끈흐늘풀
Scinaia okiensis,완장흐늘풀
Ahnfeltia plicata,싹새기
Schimmelmannia plumosa,깃털납작풀
Asparagopsis armata,여우꼬리말
Asparagopsis taxiformis,바다고리풀
Bonnemaisonia hamifera,참갈고리풀
Delisea pulchra,나도꿩꼬리
Ptilonia okadae,제주꿩나래
Aglaothamnion callophyllidicola,엇깃풀
Aglaothamnion oosumiense,가는엇깃풀
Callithamnion corymbosum,술외깃풀
Callithamnion pinnatum,홍실외깃풀
Crouania attenuata,헛가지자루풀
Acrothamnion preissii,끝동비단깃풀
Antithamnion aglandum,제주참깃풀
Antithamnion callocladum,거북손참깃풀
Antithamnion nipponicum,참깃풀
Antithamnion okiense,조막손참깃풀
Antithamnion secundum,외가지참깃풀
Antithamnion sparsum,윗가지참깃풀
Antithamnionella breviramosa,애기참깃풀사촌
Antithamnionella spirographidis,참깃풀사촌
Balliella amphiglanda,은방울덤불분홍풀
Balliella subcorticata,덤불분홍풀
Callithamniella pacifica,외깃풀사촌
Campylaephora borealis,북방석묵
Campylaephora crassa,굵은석묵
Campylaephora hypnaeoides,석묵
Centroceras distichum,누은가시풀
Centroceras gasparrinii,가시풀
Ceramium aduncum,고리비단풀
Ceramium affine,나도비단풀
Ceramium borneense,보르네오비단풀
Ceramium cimbricum,술비단풀
Ceramium diaphanum,실비단풀
Ceramium inkyuii,인규비단풀
Ceramium nakamurae,누은비단풀
Ceramium paniculatum,바늘비단풀
Ceramium tenerrimum,털비단풀
Gayliella fimbriata,깃색동풀
Gayliella mazoyerae,명주비단풀
Herpochondria corallinae,산호잇바디가지
Herpochondria dentata,잇바디가지
Herpochondria elegans,각시잇바디가지
Herpochondria pygmaea,작은구두리
Pterothamnion intermedium,네날개깃말
Pterothamnion yezoense,날개깃말
Dasya collabens,깃가지다홍풀
Dasya scoparia,빗자루다홍풀
Dasya villosa,털다지다홍풀
Dasysiphonia chejuensis,제주분홍풀
Dasysiphonia japonica,엇가지분홍풀
Heterosiphonia pulchra,털엇가지풀
Acrosorium ciliolatum,갈고리분홍잎
Acrosorium flabellatum,부채분홍잎
Acrosorium minus,작은분홍잎
Acrosorium polyneurum,잔금분홍잎
Acrosorium yendoi,누은분홍잎
Apoglossum minimum,외톨난장이혀
Caloglossa leprieurii,참각시혀
Caloglossa ogasawaraensis,오가사와라각시혀
Congregatocarpus kurilensis,바다떡갈잎
Cryptopleura membranacea,민잎맥
Cryptopleura ramosa,니토필
Cumathamnion serrulatum,톱니보라잎사촌
Erythroglossum minimum,꼬마붉은혀
Erythroglossum pinnatum,날개붉은혀
Haraldiophyllum bonnemaisonii,갈래엷은잎사촌
Hideophyllum yezoense,섬엷은잎자매
Hypoglossum barbatum,참빗살잎
Hypoglossum caloglossoides,잘록빗살잎
Hypoglossum minimum,애기빗살잎
Hypoglossum simulans,나도참빗살잎
Marionella schmitziana,반맥비단
Martensia albida,명주비단망사
Martensia australis,호주비단망사
Martensia elegans,고운비단망사
Martensia flammifolia,민비단망사
Martensia fragilis,두불비단망사
Martensia jejuensis,제주비단망사
Martensia denticulata,비단망사
Membranoptera robbeniensis,가는그물잎
Myriogramme livida,줄엷은잎
Neoholmesia japonica,왜갈래댕기잎
Nitophyllum stellatocorticatum,별덮개엷은잎
Phycodrys australasica,애기바다참나무잎
Phycodrys fimbriata,바다참나무잎
Phycodrys radicosa,헛뿌리바다참나무잎
Pseudopolyneura koreana,토종다맥잎사촌
Pseudopolyneura japonica,왜다맥잎사촌
Schizoseris bombayensis,난쟁이갈래줄잎
Schizoseris subdichotoma,참갈래줄잎
Sorella repens,기는분홍잎사촌
Taenioma perpusillum,작은하늘잎
Yoshidaphycus ciliatus,털댕기잎
Acanthophora muscoides,방망이가시서실
Ardissonula regularis,다홍나래풀
Benzaitenia yenoshimensis,서실더부살이
Bostrychia radicans,조막손
Bostrychia simpliciuscula,바위털
Bostrychia tenella,곱슬바위털
Chondria arcuata,굽은개서실
Chondria atropurpurea,검둥이개서실
Chondria chejuensis,제주개서실
Chondria crassicaulis,개서실
Chondria dasyphylla,각시개서실
Chondria expansa,덤불개서실
Chondria intertexta,꼬인개서실
Chondria lanceolata,잔가시개서실
Chondria lancifolia,납작개서실
Chondria littoralis,큰개서실
Chondria mageshimensis,야윈개서실
Chondria pellucida,맑은개서실
Chondria stolonifera,기는줄기개서실
Chondrophycus cartilagineus,물렁뼈고들서실
Chondrophycus kangjaewonii,새고들서실
Chondrophycus undulatus,혹고들서실
Dasyclonium flaccidum,각시빗꼴털
Digenea simplex,해인초
Herposiphonia caespitosa,잔디거미줄
Herposiphonia fissidentoides,제주거미줄
Herposiphonia insidiosa,애기거미줄
Herposiphonia nuda,민털거미줄
Herposiphonia parca,기는거미줄
Herposiphonia plumula,엇깃꼴거미줄
Herposiphonia secunda,외쪽거미줄
Herposiphonia subdisticha,두줄거미줄
Laurencia brongniartii,브롱니아서실
Laurencia chinensis,애기사촌서실
Laurencia composita,겹가지서실
Laurencia hamata,갈고리서실
Laurencia intercalaris,사이서실
Laurencia intricata,타래서실
Laurencia nidifica,애기외사촌서실
Laurencia nipponica,큰서실
Laurencia obtusa,몽우리서실
Laurencia obtusa var. rigidula,억센몽우리서실
Laurencia okamurae,쌍발이서실
Laurencia pinnata,깃꼴서실
Laurencia succulenta,몽다리서실
Laurencia tropica,삼열생서실
Laurencia venusta,애기서실
Leveillea jungermannioides,반달타래
Lophocladia japonica,집게가지
Neorhodomela aculeata,새빨간검둥이
Neorhodomela munita,가는새빨간검둥이
Neorhodomela larix,민새빨간검둥이
Odonthalia corymbifera,참빗풀
Osmundea pinnatifida,깃꼴연서실
Palisada amabilis,나도굽은담서실
Palisada capituliformis,부리담서실
Palisada intermedia,검은담서실
Palisada perforata,사마귀담서실
Palisada robusta,강한담서실
Palisada yamadana,굽은담서실
Polysiphonia codicola,청각붉은실
Polysiphonia crassa,굵은붉은실
Polysiphonia flabellulata,손바닥붉은실
Polysiphonia fragilis,여린붉은실
Polysiphonia morrowii,큰수염붉은실
Polysiphonia utricularis,풍선붉은실
Rhodomela lycopodioides,북방빨간검둥이
Rhodomela sachalinensis,사할린빨간검둥이
Symphyocladia glabra,민털보라색우무
Symphyocladia jejuinsula,제주보라색우무
Symphyocladia latiuscula,참보라색우무
Symphyocladia linearis,가는보라색우무
Symphyocladia lithophila,잔디보라색우무
Symphyocladia marchantioides,넓은보라색우무
Symphyocladia pumila,애기보라색우무
Symphyocolax koreana,보라색우무털
Spyridia elongata,긴비단사돈풀
Spyridia filamentosa,큰비단사돈풀
Anotrichium furcellatum,갈래민털이풀
Anotrichium tenue,헛가지민털이풀
Anotrichium yagii,야기민털이풀
Dasyphila plumarioides,명지풀
Griffithsia coacta,마디비단잘록이
Griffithsia corallinoides,산호비단잘록이
Griffithsia heteroclada,엇가지비단잘록이
Griffithsia heteromorpha,구슬비단잘록이
Griffithsia japonica,큰부채비단잘록이
Griffithsia okiensis,부채비단잘록이
Griffithsia tomo-yamadae,야마다비단잘록이
Griffithsia venusta,고운비단잘록이
Gymnophycus hypsispermis,오디풀사촌
Gymnothamnion elegans,비단공작풀
Lejolisia pacifica,외줄사슬말
Monosporus indicus,외포자비단풀
Monosporus inkyui,새외포자비단풀
Pleonosporium pusillum,애기오디풀
Pleonosporium segawae,세가와오디풀
Pleonosporium tohyamanum,잔가지오디풀
Plumariella yoshikawae,깃가지덮개
Ptilota filicina,참빗가지
Ptilota phacelocarpoides,헛빗가지
Ptilota serrata,톱니빗가지
Spongoclonium caribaeum,카리브돌림가지말
Spongoclonium yagii,돌림가지말
Tiffaniella codicola,청각포자털
Tiffaniella suyehiroi,쓰이히로포자털
Wrangelia argus,털가지풀
Wrangelia tanegana,큰깃복슬털
Gelidiophycus freshwateri,애기우뭇가사리
Gelidium amansii,굵은참우뭇가사리
Gelidium australe,호주우뭇가사리
Gelidium coreanum,참우뭇가사리
Gelidium corneum,골우뭇가사리
Gelidium corneum var. pinnatum,깃우뭇가사리
Gelidium crinale,다발우뭇가사리
Gelidium elegans,우뭇가사리
Gelidium eucorneum,뿔우뭇가사리
Gelidium galapagense,조막손우뭇가사리
Gelidium japonicum,왜우뭇가사리
Gelidium johnstonii,존스튼우뭇가사리
Gelidium microphysa,작은잎우뭇가사리
Gelidium minimum,작은우뭇가사리
Gelidium pacificum,왕우뭇가사리
Gelidium pusillum,실우뭇가사리
Gelidium pusillum var. cylindricum,통실우뭇가사리
Gelidium pusillum var. pacificum,대양실우뭇가사리
Gelidium pusillum var. pulvinatum,방석실우뭇가사리
Gelidium prostratum,누운우뭇가사리
Gelidium purpurascens,붉은우뭇가사리
Gelidium spinosum,깃가지우뭇가사리
