소2 연1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,표토제거,,계,비다짐,,,노상,,,노체,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,,,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
NO.12+14.98,14.981794407477821,0.2663345439467406,2.7968465534960987,2.7968465534960987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7968465534960987,0,0,0,0,0,0,1.5984796454549866,19.16247359746962,19.49386937687652,0,0,0,0,0,0,19.49386937687652,,,,,0,0,0,0,0,0,0,0,0,0
NO.13,5.018205592522179,0,0.6682607489576888,0.6682607489576888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6682607489576888,0,0,0,0,0,0,1.0674740085905654,6.689151768068164,6.804833945135466,0,0,0,0,0,0,6.804833945135466,,,,,0,0,0,0,0,0,0,0,0,0
NO.14,20,0.002286970725336346,0.022869707253363458,0.022869707253363458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022869707253363458,0,0,0,0,0,0,0.35717973353578714,14.246537421263525,14.492917010441023,0,0,0,0,0,0,14.492917010441023,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.26862151467207696,3.487977009707151,3.487977009707151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.487977009707151,0,0,0,0,0,0,3.023133387581339,40.09816278680131,40.79162033245301,0,0,0,0,0,0,40.79162033245301,3.487977009707151,3.487977009707151,37.303643322745856,0,0,0,0,0,0,0,0,0,0,0
NO.15,20,0,0.022869707253363458,0.022869707253363458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022869707253363458,0,0,0,0,0,0,0.5084372250829894,8.656169586187765,8.805869365399557,0,0,0,0,0,0,8.805869365399557,,,,,0,0,0,0,0,0,0,0,0,0
NO.15+7.74,7.734557432937208,0.07871681286056997,0.3044198550039244,0.3044198550039244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3044198550039244,0,0,0,0,0,0,0.19675569679155558,2.727177577769735,2.774341381251002,0,0,0,0,0,0,2.774341381251002,,,,,0,0,0,0,0,0,0,0,0,0
NO.15+17.77,10.037062571620936,0.001093443461641641,0.4005302682815717,0.4005302682815717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4005302682815717,0,0,0,0,0,0,0.13876416327998697,1.6838169147797868,1.7129368410781147,0,0,0,0,0,0,1.7129368410781147,,,,,0,0,0,0,0,0,0,0,0,0
NO.16,2.2283799954418555,0.015999231229113065,0.019044487174736544,0.019044487174736544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019044487174736544,0,0,0,0,0,0,0.11955284108837816,0.2878142225084656,0.29279168108694364,0,0,0,0,0,0,0.29279168108694364,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.09580948755132468,0.746864317713596,0.746864317713596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746864317713596,0,0,0,0,0,0,0.9635099262429101,13.354978301245753,13.585939268815618,0,0,0,0,0,0,13.585939268815618,0.746864317713596,0.746864317713596,12.839074951102022,0,0,0,0,0,0,0,0,0,0,0
NO.16+7.01,7.007604964467362,0.12459312692784863,0.49260785349344904,0.49260785349344904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49260785349344904,0,0,0,0,0,0,0,0.41888954136354817,0.42613381623962177,0,0,0,0,0,0,0.42613381623962177,,,,,0,0,0,0,0,0,0,0,0,0
NO.16+8.66,1.6520981540001003,0,0.10292003749929945,0.10292003749929945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10292003749929945,0,0,0,0,0,0,0.3931873550305198,0.3247920517110519,0.33040900479252483,0,0,0,0,0,0,0.33040900479252483,,,,,0,0,0,0,0,0,0,0,0,0
NO.16+13.15,4.49347519489686,0.014587611038713533,0.03277453417763144,0.03277453417763144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03277453417763144,0,0,0,0,0,0,0.006154859125384604,0.8972171667923731,0.9127336386494131,0,0,0,0,0,0,0.9127336386494131,,,,,0,0,0,0,0,0,0,0,0,0
NO.16+14.17,1.015275023668039,0.24815784133839713,0.13337944769042032,0.13337944769042032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13337944769042032,0,0,0,0,0,0,0,0.00312443737209915,0.00317847138565529,0,0,0,0,0,0,0.00317847138565529,,,,,0,0,0,0,0,0,0,0,0,0
NO.17,5.831546662967639,0.5068525814655658,2.201439255804118,2.201439255804118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.201439255804118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
NO.18,20,0,5.068525814655658,5.068525814655658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.068525814655658,0,0,0,0,0,0,0.7170440718525342,7.170440718525342,7.2944463057226265,0,0,0,0,0,0,7.2944463057226265,,,,,0,0,0,0,0,0,0,0,0,0
소계,40,0.8941911607705251,8.031646943320576,8.031646943320576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.031646943320576,0,0,0,0,0,0,1.1163862860084386,8.814463915764414,8.966901236789841,0,0,0,0,0,0,8.966901236789841,8.031646943320576,8.031646943320576,0.9352542934692654,0,0,0,0,0,0,0,0,0,0,0
NO.19,20,0.023012736948189172,0.23012736948189172,0.23012736948189172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23012736948189172,0,0,0,0,0,0,0.09266982749004882,8.09713899342583,8.237170898703795,0,0,0,0,0,0,8.237170898703795,,,,,0,0,0,0,0,0,0,0,0,0
NO.19+11.05,11.045961572415877,0.18589355456267498,1.1537854341324572,1.1537854341324572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1537854341324572,0,0,0,0,0,0,0,0.5118136766887438,0.520664981372069,0,0,0,0,0,0,0.520664981372069,,,,,0,0,0,0,0,0,0,0,0,0
NO.19+17.97,6.923038427584061,0.021675272108439003,0.7185034817063287,0.7185034817063287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7185034817063287,0,0,0,0,0,0,0.28290340063300334,0.9792755569382455,0.9962111464275133,0,0,0,0,0,0,0.9962111464275133,,,,,0,0,0,0,0,0,0,0,0,0
소계,37.96899999999994,0.23058156361930315,2.1024162853206776,2.1024162853206776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1024162853206776,0,0,0,0,0,0,0.37557322812305216,9.58822822705282,9.754047026503375,0,0,0,0,0,0,9.754047026503375,2.1024162853206776,2.1024162853206776,7.651630741182698,0,0,0,0,0,0,0,0,0,0,0
총계,397.969,7.253741397408488,74.69400046681044,74.69400046681044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.69400046681044,0,0,0,0,0,0,23.845868042607037,238.47069210838964,242.59480377252262,0,0,0,0,0,0,242.59480377252262,45.301969502385276,45.301969502385276,197.29283427013726,29.392030964425132,0,0,0,0,0,0,0,0,0,0
