보3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(2)  NO. 5,10,0.01642919032302359,0.08214595161511795,0.08214595161511795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08214595161511795,20.925011502285543,174.5231936679602,174.5231936679602,0,0,0,0,0,0,174.5231936679602,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 6,20,0.002476730960121243,0.18905921283144833,0.18905921283144833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18905921283144833,9.645564532454046,305.7057603473959,305.7057603473959,0,0,0,0,0,0,305.7057603473959,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 7,20,0.0030200102870665546,0.054967412471877974,0.054967412471877974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054967412471877974,3.625146256395084,132.7071078884913,132.7071078884913,0,0,0,0,0,0,132.7071078884913,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,54.15833225968282,0.021925931570211388,46.68134398454568,46.68134398454568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.68134398454568,48.17534952244117,642.0020293509886,642.0020293509886,0,0,0,0,0,0,642.0020293509886,46.68134398454568,46.68134398454568,595.3206853664428,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 8,20,0.07257577403155224,0.755957843186188,0.755957843186188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755957843186188,3.435572957850809,70.60719214245893,70.60719214245893,0,0,0,0,0,0,70.60719214245893,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 8+9.00,9,0.17524645430131613,1.1152000274979077,1.1152000274979077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1152000274979077,0.2550536248540993,16.607819622172087,16.607819622172087,0,0,0,0,0,0,16.607819622172087,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,29,0.24782222833286838,1.8711578706840957,1.8711578706840957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8711578706840957,3.6906265827049083,87.21501176463102,87.21501176463102,0,0,0,0,0,0,87.21501176463102,1.8711578706840957,1.8711578706840957,85.34385389394691,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,169,42.753739049045876,242.56700873985466,242.56700873985466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.56700873985466,65.69676703934185,846.1706903351948,846.1706903351948,0,0,0,0,0,0,846.1706903351948,54.981641511676564,54.981641511676564,791.1890488235183,187.5853672281781,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5301303517814588,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 0+2.30,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.117091949567296,7.644305646551068,7.644305646551068,0,0,0,0,0,0,7.644305646551068,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 1,17.7,0.04638188591592218,0.4104796903559113,0.4104796903559113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4104796903559113,0.4215287871497253,49.01679351994564,49.01679351994564,0,0,0,0,0,0,49.01679351994564,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 1+11.80,11.8,0.040366861906974805,0.5118176121550922,0.5118176121550922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5118176121550922,0.23870634266904744,3.8953872659307596,3.8953872659307596,0,0,0,0,0,0,3.8953872659307596,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 2+5.00,13.2,0.02700634055828033,0.4446631362706839,0.4446631362706839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4446631362706839,0.07023708097906933,2.0390265960775706,2.0390265960775706,0,0,0,0,0,0,2.0390265960775706,,,,,0,0,0,0,0,0,0,0,0,0
(3)  소계,45,0.11375508838117732,1.3669604387816874,1.3669604387816874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3669604387816874,7.377694512146597,62.59551302850503,62.59551302850503,0,0,0,0,0,0,62.59551302850503,1.3669604387816874,1.3669604387816874,61.22855258972334,0,0,0,0,0,0,0,0,0,0,0
(3)  NO. 2+15.00,10,0,0.13503170279140164,0.13503170279140164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13503170279140164,0.26877947509507294,1.6950827803707114,1.6950827803707114,0,0,0,0,0,0,1.6950827803707114,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 3,5,0.024288536060112165,0.06072134015028041,0.06072134015028041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06072134015028041,0.2661501073568502,1.3373239561298078,1.3373239561298078,0,0,0,0,0,0,1.3373239561298078,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 3+18.00,18,0.0001721970439576559,0.22014659793662839,0.22014659793662839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22014659793662839,0.2834521596013104,4.9464204026234455,4.9464204026234455,0,0,0,0,0,0,4.9464204026234455,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 4,2,0.03484037893642267,0.03501257598038032,0.03501257598038032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03501257598038032,0.10408081499537047,0.3875329745966809,0.3875329745966809,0,0,0,0,0,0,0.3875329745966809,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 4+5.84,5.8416677403171775,0.05274475809197732,0.25582163475503183,0.25582163475503183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25582163475503183,0.03530396127558788,0.4071197755166923,0.4071197755166923,0,0,0,0,0,0,0.4071197755166923,,,,,0,0,0,0,0,0,0,0,0,0
(3)  소계,40.84166774031718,0.1120458701324698,0.7067338516137226,0.7067338516137226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7067338516137226,0.9577665183241919,8.773479889237338,8.773479889237338,0,0,0,0,0,0,8.773479889237338,0.7067338516137226,0.7067338516137226,8.066746037623615,0,0,0,0,0,0,0,0,0,0,0
(3)  NO. 4+10.00,4.1583322596828225,0,0.10966511455151794,0.10966511455151794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10966511455151794,0.2212732882925792,0.5334667269899999,0.5334667269899999,0,0,0,0,0,0,0.5334667269899999,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 5,10,0.011502323867933484,0.05751161933966742,0.05751161933966742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05751161933966742,0.200577171193558,2.109252297430686,2.109252297430686,0,0,0,0,0,0,2.109252297430686,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 6,20,0.08111821772807559,0.9262054159600908,0.9262054159600908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9262054159600908,0.0005214040318008983,2.010985752253589,2.010985752253589,0,0,0,0,0,0,2.010985752253589,,,,,0,0,0,0,0,0,0,0,0,0
(3)  NO. 7,20,0.09924986421738424,1.8036808194545983,1.8036808194545983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8036808194545983,0.06471653696597457,0.6523794099777547,0.6523794099777547,0,0,0,0,0,0,0.6523794099777547,,,,,0,0,0,0,0,0,0,0,0,0
(3)  소계,54.15833225968282,0.19187040581339332,2.8970629693058747,2.8970629693058747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8970629693058747,0.48708840048391266,5.306084186652029,5.306084186652029,0,0,0,0,0,0,5.306084186652029,2.8970629693058747,2.8970629693058747,2.4090212173461545,0,0,0,0,0,0,0,0,0,0,0
