0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Kwon, Eun_Ho",권은호,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,학명,,,,,,,,,,국명,,,,,,,,,,국명 학명,,,,,,,,,,학명 국명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,1차,2차,3차,4차,5차,6차,7차,8차,9차,10차,연번,학명,국명,이명1,이명2,이명3,이명4,이명5,이명6,종합,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,문헌1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Gordius aquaticus,연가시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Gordius liniatus,가는줄연가시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Clithon sp.,철사벌레류,철사벌레sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Gordius robustus,털연가시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,Chordodes korrensis,오디흑연가시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,Chordodes japonensis,긴털흑연가시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Fredericella sultana,둥근총담이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,Gelatinella toanensis,우무이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Hyalinella minuta,작은유리이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Hyalinella punctata,점유리이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Plumatella emarginata,톱니깃털이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,Plumatella casmiana,카스미깃털이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Lophopodella carteri,총담이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,Asajirella gelatinosa,아사지로이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,Pectinatella magnifica,큰빗이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,Stephanella hina,왕관이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,Paludicella articulata,마디민물이끼벌레,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,Ischnochiton comptus,연두군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,Ischnochiton boninensis,가는줄연두군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Ischnochiton hakodatensis,하코다디군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,Lepidozona albrechti,북방줄군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,Rhyssoplax kurodai,꼬마군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Onithochiton hirasei,비단군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,Liolophura japonica,군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,Acanthochitona defilippi,털군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,Cryptochiton stelleri,말군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,Cryptoplax japonica,벌레군부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,Tugali decussata,흰이랑삿갓조개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,Cellana grata,진주배말,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Cellana toreuma,애기삿갓조개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Patelidae sp.,삿갓조개류,삿갓조개sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Patlloida pygmaea,애기배말,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,Patlloida pygmaea signata,무늬애기배말,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,Patlloida pygmaea lampanicola,호롱애기배말,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Collisella dorsuosa,두드럭배말,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,Collisella sp.,주름삿갓조개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,Notoacmea schrenckii,배무래기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Notoacmea concinna,둥근배무래기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,Acmaea pallida,흰삿갓조개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Chiazacmea sp.,애기배말류,애기배말sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,Acmaeidae sp.,흰삿갓조개류,흰삿갓조개sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Diloma Piperinus,띠각시고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,Lirularia iridescens,새끼밤고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Lirularia pygmaea,햇살밤고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Granata lyrata,검은점갈비고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,Calliostoma consors,주홍방석고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,Calliostoma multiliratus,얼룩방석고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,Calliostoma unicum,방석고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,Monodonta labio confusa,개울타리고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Monodonta australis,남방울타리고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,Monodonta neritoides,각시고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,Monodonta perplexa,깜장각시고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,Chlorostoma argyrostoma sublaevis,갯골뱅이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,Chlorostoma lischkei,밤고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,Chlorostoma xanthostigma,명주고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,Omphalius rusticus rusticus,보말고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,Omphalius nigerrima,애기밤고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,Cantharidus japonicus,남방얼룩고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,Cantharidus jessoensis,둥근입얼룩고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,Cantharidus callichroa,얼룩고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,Cantharidus callichroa bisbalteatus,두줄얼룩고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,Komaitrochus pulcher,뾰족얼룩고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,Umbonium thomasi,황해비단고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,Umbonium moniliferum,흑비단고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,Umbonium costatum,비단고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,Umbonium sp.,비단고둥류,비단고둥sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,Collonista glareosa,분홍무늬팥알고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,과
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,Neritina japonica,갈고둥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,Clithon retropictus,기수갈고둥,기수갈고동,,,,,,,,,,,,,,,,,,,,,,,,,,,,종
