□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
서울특별시,서1-15,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba,종로구,신교동 1-1,대,평지,1989.10.24,260,294,2050,220,700,,,,,,
서울특별시,서1-16,1,노거목,풍치목,소나무,소나무,Pinus densiflora,종로구,부암동 201,대,평지,1968.07.03,180,235,620,100,330,,,,,,
서울특별시,서1-17,1,노거목,풍치목,소나무,소나무,Pinus densiflora,종로구,평창동 248,대,임지,1968.07.03,230,285,1280,80,250,,,,,,
서울특별시,서1-18,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba,종로구,청운동 89-9,대,평지,1981.10.27,215,257,2200,130,400,,,,,,
서울특별시,서1-19,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,종로구,구기동 40,대,평지,1981.10.27,265,307,1380,170,370,,,,,,
서울특별시,서1-20,1,노거목,풍치목,회화나무,회화나무,Sophora japonica,종로구,화동 138-20,대,경사,1986.11.22,210,247,2050,90,280,,,,,,
서울특별시,서1-21,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,종로구,가회동 5,대,평지,1988.09.12,310,345,2000,110,340,,,,,,
서울특별시,서1-22,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,종로구,신영동 214-13,대,도로,1989.10.24,255,289,1300,130,400,,,,,,
서울특별시,서1-23,1,노거목,풍치목,기타,비술나무,Ulmus pumila,종로구,소격동 165,대,평지,1996.08.16,150,177,1820,80,240,,,,,,
서울특별시,서1-24,1,노거목,풍치목,기타,비술나무,Ulmus pumila,종로구,소격동 165,대,평지,1996.08.16,150,177,1720,80,240,,,,,,
서울특별시,서1-25,1,노거목,풍치목,기타,비술나무,Ulmus pumila,종로구,소격동 165,대,평지,1996.08.16,150,177,1800,70,220,,,,,,
서울특별시,서1-26,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,종로구,신교동 1-1,대,평지,1972.10.12,225,276,2050,60,120,,,,,,
서울특별시,서1-28,1,노거목,풍치목,소나무,소나무,Pinus densiflora,종로구,평창동 329-9,대,임지,1968.07.03,180,235,1200,60,120,,,,,,
서울특별시,서1-29,1,노거목,풍치목,느티나무,느티나무,Zelkova serrata,종로구,팔판동 2,대,평지,1972.10.12,175,226,1800,90,280,,,,,,
