행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수,,행 레이블,합계 : 문헌종수
사돈물땡땡이 (=잔물땡땡이),0,,흰수마자,0,,큰기러기,251,,,,,,
큰참갯지렁이,0,,등줄숭어,0,,오목눈이,67,,,,,,
동양줄날도래 (=줄날도래 KUe),0,,흰발망둑,0,,박새,60,,,,,,
클레멘스물날도래,0,,남방동사리,0,,노랑턱멧새,56,,,,,,
왕잠자리류,0,,황줄망둑,0,,까치,55,,,,,,
키조개,0,,가는돌고기,0,,방울새,47,,,,,,
다색알꽃벼룩 KUa,0,,황어,0,,직박구리,38,,,,,,
태생굴,0,,금줄망둑,0,,쇠박새,30,,,,,,
Simulium 1,0,,황복,0,,쇠오리,22,,,,,,
태평양애기별불가사리,0,,가시꺽정이,0,,청둥오리,19,,,,,,
깔따구류 5,0,,홍송어,0,,곤줄박이,13,,,,,,
태평양참옆새우,0,,동자개,0,,쑥새,12,,,,,,
깔따구류 E,0,,한둑중개,0,,왜가리,9,,,,,,
태평줄새우,0,,눈불개,0,,노랑지빠귀,9,,,,,,
명나방류,0,,한강납줄개,0,,민물가마우지,9,,,,,,
털갯노린재,0,,꼬마청황,0,,큰부리까마귀,8,,,,,,
멧피라미하루살이 (=참날개하루살이),0,,학공치,0,,쇠딱다구리,8,,,,,,
털갯지렁이류,0,,강도다리,0,,종다리,7,,,,,,
맵시하루살이 (=맵시꼬리하루살이),0,,피라미,0,,상모솔새,7,,,,,,
털군부,0,,알락누치,0,,딱새,7,,,,,,
흰부채하루살이 (=큰흰꼬리하루살이),0,,풀반댕이,0,,되새,7,,,,,,
털깨알소금쟁이,0,,무늬꾹저구,0,,힝둥새,6,,,,,,
두갈래하루살이 (=밤색하루살이),0,,풀망둑,0,,꿩,5,,,,,,
털나방파리 KUa,0,,아작망둑 ,0,,백할미새,4,,,,,,
삼지창하루살이 (=세뿔알락하루살이),0,,퉁사리,0,,대백로,4,,,,,,
털날도래 KUa,0,,큰미끈망둑,0,,말똥가리,3,,,,,,
등딱지하루살이 (=등딱지하루살이 KUa),0,,퉁가리,0,,중대백로,2,,,,,,
털모기 KUa,0,,메기,0,,오색딱다구리,2,,,,,,
남방왕잠자리 (=왕잠자리 KUa),0,,큰줄납자루,0,,진박새,2,,,,,,
털물땡땡이,0,,두우쟁이,0,,원앙,2,,,,,,
한국강도래 (=강도래 KUa),0,,큰볏말뚝망둥어,0,,큰오색딱다구리 ,2,,,,,,
털보꼬마풀게,0,,돌상어,0,,붉은부리갈매기,2,,,,,,
딸기잎벌레 (=딸기잎벌레 KUa),0,,큰납지리,0,,밀화부리,2,,,,,,
털보백금갯지렁이,0,,대륙송사리,0,,개똥지빠귀,2,,,,,,
강줄날도래 KUb (=꼬마줄날도래 KUb),0,,큰가시고기,0,,잿빛개구리매,1,,,,,,
털보옆새우,0,,납지리,0,,후투티,1,,,,,,
일본가시날도래 (=가시날도래),0,,케톱치,0,,때까치,1,,,,,,
털보집갯지렁이,0,,끄리,0,,삑삑도요,1,,,,,,
납작하루살이류,0,,칼상어,0,,큰매사촌,0,,,,,,
털연가시,0,,까치복,0,,흰꼬리좀도요,0,,,,,,
그물강도래 KUa,0,,칼납자루,0,,한국밭종다리,0,,,,,,
털유령얼굴갯지렁이,0,,개소겡,0,,쇠제비갈매기,0,,,,,,
점물땡땡이류,0,,칠성장어,0,,쇠오색딱다구리,0,,,,,,
털줄뾰족코조개벌레,0,,각시붕어,0,,쇠종다리,0,,,,,,
