,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,,토지면적,,,연면적 산정,,,,도입시설 비율,,,,,,,,도입시설 연면적,,,,,,,,,"세대계획(계약면적 기준,㎡)",,,,,,,,,,,,,,,,,,"세대계획(평, 세대)",,,,,,,,,,,
,,,㎡,평,비율,용적률,지하비율,합계(㎡),합계(평),주거 ,상업,OT,업무,호텔,시니어,OD,합계(%),주거 ,상업,OT,업무,호텔,시니어,OD,합계(㎡),합계(평),"25TY
(OT전용)",,"49TY
(OT전용)",,59TY,,84TY,,101TY,,"주거
계약면적 합계","상업
계약면적 합계","OT
계약면적 합계",계약면적 합계,(주거차이),체크,"세대수 합계
(OT미포함)","세대수 합계
(OT 포함)",전용,공급,계약,세대수,,,,,,,,
,,초등학교,13181,3987.2525,0.020311616346066427,2.5,0.2,,12460.1640625,0.5,0.45,,,,,0.05,1,6230.08203125,5607.073828125001,0,0,0,0,623.008203125,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,
,,대안학교,4896,1481.04,0.007544622838202049,2.5,0.2,,4628.25,,0.8,,,,,0.2,1,0,3702.6000000000004,0,0,0,0,925.6500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,국제학교,15134,4578.035,0.02332114420615805,2.5,0.2,,14306.359374999998,0.7,,,,,,0.3,1,10014.451562499999,0,0,0,0,0,4291.9078125,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,
,공원·녹지,소 계,115054,34803.835,0.1772955547439744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,공원,99034,29957.785,0.15260910501603386,3.5,0.2,,131065.30937499998,,0.05,0.95,,,,,1,0,6553.26546875,124512.04390624998,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,완충녹지,13402,4054.105,0.020652172238068603,3.5,0.2,,17736.709375,,0.3,,,,0.7,0,1,0,5321.012812499999,0,0,0,12415.696562499998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,경관녹지,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,공공녹지,2618,791.9449999999999,0.00403427748987193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,기타용지,소 계,89393,27041.3825,0.1377525468495498,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,오피스텔,0,0,0,6,0.3,0,0,0,0.2,0.8,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,#REF!,#REF!,#REF!,,,,,,,,
,,공공청사,0,0,0,3.5,0.3,,,,,,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주차장,3911,1183.0774999999999,0.006026760604617691,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,도로,85482,25858.305,0.1317257862449321,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
