1. 토지이용계획표,,,,,,,,,,,,,,,,,,,
구 분,,,,면적(㎡),,비고,,,,,,,,,,,,,
,,,,기정,구성비(%),,,,,,,,,,,,,,
합 계,,,,984431,1,"가처분 용지 : 542,548㎡(55.11%)",,,,,,,,가처분 면적 :,542548,55.112851992673946,,,
주거용지,,,,446889,0.4539566511009913,,,,,,,,,주차장(무상 면적) :,4155,,,,
,단독주택,,,49952,0.05074200223276187,,,,,,,,,,,,,,
,공동주택,,,338132,0.343479634428416,"○ 임대주택 2,084세대(26.8%)",,,,,,,,가처분 면적(존치 고려) :,,,,,
,준주거,,,58805,0.05973501443981345,,,,,,,,,,,,,,
상업용지,,,,51043,0.05185025664571717,,,,,,,,,임대주택 검토,법적기준면적,,67626.40000000001,,
,근린상업,,,0,0,,,,,,,,,구분,단위,공동주택,임대주택,임대주택 비율,
,복합시설,,,0,0,,,,,,,,,면적 기준,㎡,338132,69517,0.20559130753670166,69517㎡
,주상복합,,,51043,0.05185025664571717,,,,,,,,,세대수 기준,세대,7725,2084,0.26977346278317155,2084세대
기반시설용지,,,,480962,0.48856852333987855,,,,,,,,,,,,,,
,공공업무,,,19766,0.020078603782286417,,,,,,,,,85㎡ 이하 주택건설용지 지침기준 60% 이상 확보,,,,,
,,커뮤니티 시설,,1874,0.0019036377359103887,,,,,,,,,구분,공동주택,85㎡ 초과,85㎡ 이하,지침 확보비율,
,,체육시설,,13595,0.013810008014782143,,,,,,,,,지침기준,338132,135252.80000000002,202879.19999999998,0.6,
,,공공청사,,4297,0.004364958031593885,,,,,,,,,현황,,53723,284409,0.8411182615073404,
