순,목,,과,,학명,,출현,
116,,,선녀벌레과,Flatidae,선녀벌레,Geisha distincti sima,8,
117,,,,,봉화선녀벌레,Mimophantia  maritima,1,
118,,,거품벌레과,Aphrophoridae,흰띠거품벌레,Obiphora  intermedia,1,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
119,,,,,갈잎거품벌레,Petaphora maritima,4,
120,,,큰날개매미충과,Ricaniidae,신부날개매미충,Euricania clara,17,
121,,,,,일본날개매미충,Orosanga  japonica,2,
122,,,,,남쪽날개매미충,Ricania taeniata,1,○
123,풀잠자리목,Neuroptera,풀잠자리과,Chrysopidae,흰띠풀잠자리,Cunctochrysa albolineata,1,
124,딱정벌레목,Coleoptera,물맴이과,Gyrinidae,물맴이,Gyrinus (Gyrinus) japonicus francki,,○
125,,,딱정벌레과,Carabidae,줄딱정벌레,Aulonocarabus (Aulonocarabus)canaliculatussubsp.pappianus,16,
126,,,,,멋쟁이딱정벌레,Coptolabrus jankowsk i subsp. jankowsk i,22,
127,,,,,큰명주딱정벌레,Calosoma  (Campalita) chinense,1,
128,,,,,제주왕딱정벌레,Isiocarabus  fiduciarius subsp. saishutoicus,64,
129,,,,,우리딱정벌레,Eucarabus (Parhomopterus) sternbergi subsp. sternbergi,48,
130,,,,,제주홍단딱정벌레,Coptolabrus  smaragdinus subsp. monilifer,2,
131,,,,,풀색명주딱정벌레,Calosoma  (Calosoma) cyanescens,1,
132,,,,,검정명주딱정벌레,Calosoma  (Calosoma) maximowiczi,1,
133,,,,,가슴털머리먼지벌레,Harpalus (Pseudoophonus) eous,1,
134,,,,,머리먼지벌레,Harpalus (Cephalomorphus) capito,1,
135,,,,,날개끝가시먼지벌레,Colpodes  (Metacolpodes) buchanani,2,
136,,,,,가는조롱박먼지벌레,Scarites acutidens,1,
137,,,,,폭탄먼지벌레,Pheropsophus  (Stenaptinus) je soensis,50,○
138,,,,,윤납작먼지벌레,Synuchus (Crepidactyla) nitidus,44,
139,,,,,습지먼지벌레,Archipatrobus  flavipes,1,
140,,,,,붉은칠납작먼지벌레,Synuchus (Synuchus) cycloderus,1,
141,,,,,끝무늬먼지벌레,Chlaenius (Pachydinodes) virgulifer,4,
142,,,,,등빨간먼지벌레,Dolichus  halensis subsp. halensis,6,○
143,,,,,모래사장먼지벌레,Diplocheila  zeelandica,1,
144,,,,,두점박이먼지벌레,Planetes (Planetes) puncticeps,1,
145,,,,,길앞잡이,Cicindela (Sophiodela) chinensis flammifera,,○
146,,,,,쇠길앞잡이,Cicindela  (Myriochila) speculifera,1,
147,,,,,아이누길앞잡이,Cicindela  (Cicindela) gemmata,1,
148,,,사슴벌레과,Lucanidae,넓적사슴벌레,Dorcus  titanus subsp. castanicolor,7,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
149,,,소똥구리과,Scarabaeidae,애기뿔소똥구리,Copris  (Copris) tripartitus,18,○
150,,,,,뿔소똥구리,Copris  (Copris) ochus,14,○
151,,,,,모가슴소똥풍뎅이,Onthophagus  (Phanaeomorphus) fodiens,60,
152,,,,,혹가슴검정소똥풍뎅이,Onthophagus  atripennis,9,
153,,,,,렌지소똥풍뎅이,Onthophagus  (Strandius) lenz i subsp. lenz i,9,
154,,,,,소요산소똥풍뎅이,Onthophagus  (Strandius) japonicus,7,
155,,,송장풍뎅이과,Trogidae,갈색테송장풍뎅이,Trox  vimmeri,2,
156,,,송장벌레과,Silphidae,큰넓적송장벌레,Necrophila  (Eusilpha) jakowlewi subsp. jakowlewi,13,
157,,,,,넉점박이송장벌레,Nicrophorus  quadripunctatus,62,
158,,,,,검정송장벌레,Nicrophorus  concolor,5,
159,,,,,대모송장벌레,Necrophila  (Calosilpha) brunneico lis subsp. brunneico lis,2,
160,,,꽃무지과,Cetoniidae,풀색꽃무지,Gametis jucunda,2,○
161,,,,,호랑꽃무지,Lasiotrichius  succinctus,1,○
162,,,검정풍뎅이과,Melolonthidae,참검정풍뎅이,Holotrichia  diomphalia,11,○
163,,,,,빨간색우단풍뎅이,Maladera verticalis,6,
164,,,,,고려노랑풍뎅이,Pseudosymmchia impre sifrons,1,○
165,,,,,부산우당풍뎅이,Maladera fusania,1,
166,,,,,오카모토우단풍뎅이,Maladera okamotoi,1,
167,,,,,검정풍뎅이,Holotrichia kiotoensis,,○
168,,,,,왕풍뎅이,Melolontha incana,,○
169,,,방아벌레과,Elateridae,검정빗살방아벌레,Melanotus  (Spheniscosomus) cribrico lis,1,
170,,,,,녹슬은방아벌레,Agrypnus  binodulus subsp. coreanus,6,
171,,,,,빗살방아벌레,Melanotus  (Melanotus) legatus subsp. legatus,1,
172,,,,,애녹슬은방아벌레,Agrypnus scrofa,,○
173,,,,,붉은다리빗살방아벌레,Melanotus (Spheniscosomus) cete,,○
174,,,장수풍뎅이과,Dynastidae,장수풍뎅이,A lomyrina dichotoma,1,
175,,,,,외뿔장수풍뎅이,Eophileurus chinensis,1,
176,,,풍뎅이과,Rutelidae,청동풍뎅이,Anomala  albopilosa,2,○
177,,,,,주둥무늬차색풍뎅이,Adoretus  tenuimaculatus,3,
178,,,,,카멜레온줄풍뎅이,Anomala  chamaeleon,35,○
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
179,,,,,등얼룩풍뎅이,Blitopertha  orientalis,5,
180,,,,,녹색콩풍뎅이,Popi lia quadrigu tata,1,
181,,,,,참콩풍뎅이,Popi lia flavose lata,1,○
182,,,,,제주풍뎅이,Anomala quelparta,,○
183,,,,,풍뎅이,Mimela splendens,,○
184,,,,,왜콩풍뎅이,Popi lia japonica,,○
185,,,,,등노랑풍뎅이,Spilota plagico lis,,○
186,,,,,홈줄풍뎅이,Bifurcanomala aulax,,○
187,,,풍뎅이붙이과,Histeridae,유리둥근풍뎅이붙이,Saprinus (Saprinus) splendens,1,
188,,,무당벌레과,Coccinellidae,칠성무당벌레,Coccine la (Coccine la) septempunctata,1,○
189,,,,,무당벌레,Harmonia  axyridis,10,○
190,,,,,꼬마남생이무당벌레,Propylea japonica,2,○
191,,,,,노랑무당벌레,I leis (I leis) koebelei subsp. koebelei,1,
192,,,,,네점가슴무당벌레,Calvia muiri,3,
193,,,잎벌레붙이과,Lagriidae,털보잎벌레붙이,Luprops orientalis,1,
194,,,반딧불이과,Lampyridae,늦반딧불이,Pyrocoelia rufa,5,
195,,,거저리과,,대왕거저리,Promethis  valgipes subsp. valgipes,1,
196,,,,,강변거저리,Heterotarsus  carinula,2,
197,,,하늘소과,Cerambycidae,남색초원하늘소,Agapanthia pilicornis,,○
198,,,,,청줄하늘소,Xystrocera globosa,1,
199,,,,,알락하늘소,Anoplophora  chinensis,2,
200,,,,,검정하늘소,Spondylis  buprestoides,6,○
201,,,,,톱하늘소,Prionus  insularis subsp. insularis,1,○
202,,,,,줄콩알하늘소,Exocentrus lineatus,1,
203,,,병대벌레과,Cantharidae,회황색병대벌레,Athemus vite linus,,○
204,,,잎벌레과,Chrysomelidae,암갈색날개잎벌레,Py rhalta fuscipennis,2,
205,,,,,돼지풀잎벌레,Ophrae la communa,1,
206,,,,,좀남색잎벌레,Gastrophysa  (Gastrophysa) atrocyanea,6,
207,,,,,노랑가슴녹색잎벌레,Agelasa  nigriceps,1,
208,,,,,밤나무잎벌레,Physosmaragdina  nigrifrons,3,
순,목,,과,,학명,,출현,
순,목,,과,,학명,,2017 년,2011 년
209,,,,,금록색잎벌레,Basilepta fulvipes,5,
210,,,,,검정오이잎벌레,Aulacophora nigripennis subsp. nigripennis,2,○
211,,,,,주홍꼽추잎벌레,Acrothinium gaschkevitch i subsp. gaschkevitch i,1,
212,,,,,오이잎벌레,Aulacophora indica,1,○
213,,,왕바구미과,Dryophthoridae,뭉툭바구미,Cyphicerinus te se latus,,○
214,,,,,흰줄왕바구미,Cryptoderma  fortunei,1,
215,,,,,왕바구미,Sipalinus gigas,2,
216,벌목,Hymenoptera,꿀벌과,Apidae,양봉꿀벌,Apis me lifera,21,
217,,,,,어리호박벌,Xylocopa  appendiculata subsp. circumvolacs,2,
218,,,,,호박벌,Bombus  (Bombus) ignitus,2,○
219,,,,,좀뒤영벌,Bombus  (Pyrobombus) ardens subsp. ardens,1,
220,,,등에잎벌과,Argidae,장미등에잎벌,Arge pagana subsp. pagana,1,
221,,,,,극동등에잎벌,Arge similis,1,
222,,,말벌과,Vespidae,장수말벌,Vespa mandarinia,2,○
223,,,,,제주왕바다리,Polistes  rothneyi subsp. iwatai,6,
224,,,,,큰호리병벌,Oreumenes  decoratus,1,
225,,,,,점호리병벌,Eumenes punctatus,1,
226,,,,,말벌,Vespa crabro subsp. flabofasciata,1,○
227,,,,,뱀허물쌍살벌,Parapolybia  varia,1,
228,,,,,호리병벌,Oreumenes  decoratus,1,○
229,,,가위벌과,Megachilidae,야노뾰족벌,Coelioxys  yanonis,1,
