측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
1.2,08월18(19)일,,,,,,,,,"보호펜스, trap 예초",
3.4,08월24(25)일,,,,,,,,,pitfall-trap 설치,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
143,10월13일,,,,,,,,,no data,
144,10월17일,21.1,1.1,,,,1,,,D,
145,,20.2,1.5,,,,1,,,,
146,,21.4,1.7,,,,1,,,,
147,,19.5,1.5,,,,1,,,B,
148,,18.9,1.5,,,,1,,,,
149,10월20일,19,1,,,,1,,,B,
150,10월24일,,,,,,,,,no data,
151,10월27일,,,,,,,,,""", 귀뚜라미 제공",
152,10월30일,,,,,,,,,""", trap,펜스회수",
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,,,,,,,,,,
156,,,,,,,,,,,
157,,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
160,,,,,,,,,,,
161,,,,,,,,,,,
162,,,,,,,,,,,
163,,,,,,,,,,,
164,,,,,,,,,,,
165,,,,,,,,,,,
166,,,,,,,,,,,
167,,,,,,,,,,,
168,,,,,,,,,,,
169,,,,,,,,,,,
170,,,,,,,,,,,
171,,,,,,,,,,,
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
175,,,,,,,,,,,
176,,,,,,,,,,,
177,,,,,,,,,,,
,SUM1,,,40,22,35,46,0,0,,
,SUM2,,,143,,,,,,,
* 2022년 marking : 왼쪽 뒷발 - red,,,,,,,,,,,
,,,,,,,,,,,
 * 암컷과 수컷을 최소한 각각 30마리 씩 측정함,,,,,,,,,,,
"   SVL : snout-vent length / BM : body mass (소수점 첫번째 자리까지 기록, 나머지 반올림)",,,,,,,,,,,
,,,,,,,,,,,
* 성체(adult) : svl 40 mm 내외,,,,,,,,,,,
  아성체(sub-adult) : 만 1년 이상의 미성숙(immature)한 개구리 / svl 30mm 내외,,,,,,,,,,,
  당년생(froglet) : 올해 변태를 마친 개구리 / svl 20mm 내외,,,,,,,,,,,
,,,,,,,,,,,
측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
178,,,,,,,,,,,
179,,,,,,,,,,,
180,,,,,,,,,,,
181,,,,,,,,,,,
182,,,,,,,,,,,
183,,,,,,,,,,,
184,,,,,,,,,,,
185,,,,,,,,,,,
186,,,,,,,,,,,
187,,,,,,,,,,,
188,,,,,,,,,,,
189,,,,,,,,,,,
190,,,,,,,,,,,
191,,,,,,,,,,,
192,,,,,,,,,,,
193,,,,,,,,,,,
194,,,,,,,,,,,
195,,,,,,,,,,,
196,,,,,,,,,,,
197,,,,,,,,,,,
198,,,,,,,,,,,
199,,,,,,,,,,,
200,,,,,,,,,,,
201,,,,,,,,,,,
202,,,,,,,,,,,
203,,,,,,,,,,,
204,,,,,,,,,,,
205,,,,,,,,,,,
206,,,,,,,,,,,
207,,,,,,,,,,,
208,,,,,,,,,,,
209,,,,,,,,,,,
210,,,,,,,,,,,
211,,,,,,,,,,,
212,,,,,,,,,,,
,SUM1,,,40,22,35,46,0,0,,
,SUM2,,,143,,,,,,,
* 2022년 marking : 왼쪽 뒷발 - red,,,,,,,,,,,
,,,,,,,,,,,
 * 암컷과 수컷을 최소한 각각 30마리 씩 측정함,,,,,,,,,,,
"   SVL : snout-vent length / BM : body mass (소수점 첫번째 자리까지 기록, 나머지 반올림)",,,,,,,,,,,
,,,,,,,,,,,
* 성체(adult) : svl 40 mm 내외,,,,,,,,,,,
  아성체(sub-adult) : 만 1년 이상의 미성숙(immature)한 개구리 / svl 30mm 내외,,,,,,,,,,,
  당년생(froglet) : 올해 변태를 마친 개구리 / svl 20mm 내외,,,,,,,,,,,
,,,,,,,,,,,
측    정    표,,,,,,,,,,,
,,,,,,,,,,,
* 대상종 : 맹꽁이(Kaloula borealis),,,,,,,,성남낙생,,,
No.,date,SVL(mm),BM(g),성체,,아성체,당년생,올챙이,알,비고,
,2022년,,,male,female,sub-adult,froglet,tadpole,egg,remark,
213,,,,,,,,,,,
214,,,,,,,,,,,
215,,,,,,,,,,,
216,,,,,,,,,,,
217,,,,,,,,,,,
218,,,,,,,,,,,
219,,,,,,,,,,,
220,,,,,,,,,,,
221,,,,,,,,,,,
222,,,,,,,,,,,
223,,,,,,,,,,,
224,,,,,,,,,,,
225,,,,,,,,,,,
226,,,,,,,,,,,
227,,,,,,,,,,,
228,,,,,,,,,,,
229,,,,,,,,,,,
230,,,,,,,,,,,
231,,,,,,,,,,,
232,,,,,,,,,,,
233,,,,,,,,,,,
234,,,,,,,,,,,
235,,,,,,,,,,,
236,,,,,,,,,,,
237,,,,,,,,,,,
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
241,,,,,,,,,,,
242,,,,,,,,,,,
243,,,,,,,,,,,
244,,,,,,,,,,,
245,,,,,,,,,,,
246,,,,,,,,,,,
247,,,,,,,,,,,
,SUM1,,,40,22,35,46,0,0,,
,SUM2,,,143,,,,,,,
* 2022년 marking : 왼쪽 뒷발 - red,,,,,,,,,,,
,,,,,,,,,,,
 * 암컷과 수컷을 최소한 각각 30마리 씩 측정함,,,,,,,,,,,
